scope,addr,group,group_basis,comment,evidence
OemKbLightDxe,0x32C,OemKbLightDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightDxe/0000032C.asm; bios/decompiled/OemKbLightDxe.c
OemSWBoardIDDxe,0000032C,OemSWBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemSWBoardIDDxe/0000032C.asm; bios/decompiled/OemSWBoardIDDxe.c
DxeOverClock,0x00000330,DxeOverClock,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/DxeOverClock/00000330.asm; bios/decompiled/DxeOverClock.c
OemDgpuBoardIDDxe,00000330,OemDgpuBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDgpuBoardIDDxe/00000330.asm; bios/decompiled/OemDgpuBoardIDDxe.c
OemServiceDxe,00000330,OemServiceDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemServiceDxe/00000330.asm; bios/decompiled/OemServiceDxe.c
OemACPIDriverDxe,0x334,OemACPIDriverDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverDxe/00000334.asm; bios/decompiled/OemACPIDriverDxe.c
DxeOverClock,0x00000340,DxeOverClock,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/DxeOverClock/00000340.asm; bios/decompiled/DxeOverClock.c
OemDgpuBoardIDDxe,00000340,OemDgpuBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDgpuBoardIDDxe/00000340.asm; bios/decompiled/OemDgpuBoardIDDxe.c
OemServiceDxe,00000340,OemServiceDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemServiceDxe/00000340.asm; bios/decompiled/OemServiceDxe.c
Setup,0x00000340,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/00000340.asm; bios/decompiled/Setup.c
OemUniWillVariableDxe,00000348,OemUniWillVariableDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUniWillVariableDxe/00000348.asm; bios/decompiled/OemUniWillVariableDxe.c
DxeOverClock,0x00000350,DxeOverClock,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/DxeOverClock/00000350.asm; bios/decompiled/DxeOverClock.c
OemDgpuBoardIDDxe,00000350,OemDgpuBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDgpuBoardIDDxe/00000350.asm; bios/decompiled/OemDgpuBoardIDDxe.c
OemServiceDxe,00000350,OemServiceDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemServiceDxe/00000350.asm; bios/decompiled/OemServiceDxe.c
DxeOverClock,0x00000360,DxeOverClock,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/DxeOverClock/00000360.asm; bios/decompiled/DxeOverClock.c
DxeOverClock,0x00000364,DxeOverClock,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/DxeOverClock/00000364.asm; bios/decompiled/DxeOverClock.c
OemDgpuBoardIDDxe,0000036C,OemDgpuBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDgpuBoardIDDxe/0000036C.asm; bios/decompiled/OemDgpuBoardIDDxe.c
OemGlobalNvsDxe,0x370,OemGlobalNvsDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemGlobalNvsDxe/00000370.asm; bios/decompiled/OemGlobalNvsDxe.c
OemServiceDxe,0000037C,OemServiceDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemServiceDxe/0000037C.asm; bios/decompiled/OemServiceDxe.c
OverclockInterface,0x380,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OverclockInterface/00000380.asm; bios/decompiled/OverclockInterface.c
OemI2cDevices,00000384,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/00000384.asm; bios/decompiled/OemI2cDevices.c
OemTurboModeDxe,0x388,OemTurboModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemTurboModeDxe/00000388.asm; bios/decompiled/OemTurboModeDxe.c
OverclockInterface,0x390,OverclockInterface,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OverclockInterface/00000390.asm; bios/decompiled/OverclockInterface.c
OemGlobalNvsDxe,0x39C,OemGlobalNvsDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemGlobalNvsDxe/0000039C.asm; bios/decompiled/OemGlobalNvsDxe.c
OverclockInterface,0x3A0,OverclockInterface,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OverclockInterface/000003A0.asm; bios/decompiled/OverclockInterface.c
Setup,0x000003A0,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/000003A0.asm; bios/decompiled/Setup.c
OverclockInterface,0x3B0,OverclockInterface,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OverclockInterface/000003B0.asm; bios/decompiled/OverclockInterface.c
OverclockInterface,0x3C0,OverclockInterface,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OverclockInterface/000003C0.asm; bios/decompiled/OverclockInterface.c
OemOcDxe,0x3D0,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/decompiled/OemOcDxe.annotated.c; bios/decompiled/OemOcDxe.c
OemOcDxe,0x3EC,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/decompiled/OemOcDxe.annotated.c; bios/decompiled/OemOcDxe.c
Setup,0x00000400,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/00000400.asm; bios/decompiled/Setup.c
Setup,0x00000420,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/Setup/00000420.asm; bios/decompiled/Setup.c
OemKbLightSupportDxe,00000430,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/00000430.asm; bios/decompiled/OemKbLightSupportDxe.c
Setup,0x00000430,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/00000430.asm; bios/decompiled/Setup.c
OemApControlDxe,0x438,OemApControlDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemApControlDxe/00000438.asm; bios/decompiled/OemApControlDxe.c
OemDDSSupportDxe,00000438,OemDDSSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemDDSSupportDxe/00000438.asm; bios/decompiled/OemDDSSupportDxe.c
OemNetworkDxe,0x438,OemNetworkDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemNetworkDxe/00000438.asm; bios/decompiled/OemNetworkDxe.c
OemSWBoardIDDxe,00000438,OemSWBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemSWBoardIDDxe/00000438.asm; bios/decompiled/OemSWBoardIDDxe.c
OemVariableHookDxe,0x438,OemVariableHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemVariableHookDxe/00000438.asm; bios/decompiled/OemVariableHookDxe.c
Setup,0x00000440,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/00000440.asm; bios/decompiled/Setup.c
Setup,0x00000450,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/00000450.asm; bios/decompiled/Setup.c
Setup,0x00000483,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/00000483.asm; bios/decompiled/Setup.c
OemPowerModeDxe,0x494,OemPowerModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemPowerModeDxe/00000494.asm; bios/decompiled/OemPowerModeDxe.c
Setup,0x000004B0,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/000004B0.asm; bios/decompiled/Setup.c
OemGlobalNvsDxe,0x4B8,OemGlobalNvsDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemGlobalNvsDxe/000004B8.asm; bios/decompiled/OemGlobalNvsDxe.c
OemACPIDriverHookDxe,000004CC,OemACPIDriverHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverHookDxe/000004CC.asm; bios/decompiled/OemACPIDriverHookDxe.c
OemACPIDriverDxe,0x4D8,OemACPIDriverDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverDxe/000004D8.asm; bios/decompiled/OemACPIDriverDxe.c
OemKbLightSupportDxe,000004E4,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/000004E4.asm; bios/decompiled/OemKbLightSupportDxe.c
OemOcDxe,0x4F8,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/decompiled/OemOcDxe.annotated.c; bios/decompiled/OemOcDxe.c
OemVariableHookDxe,0x518,OemVariableHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemVariableHookDxe/00000518.asm; bios/decompiled/OemVariableHookDxe.c
OemACPIDriverHookDxe,0000052C,OemACPIDriverHookDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverHookDxe/0000052C.asm; bios/decompiled/OemACPIDriverHookDxe.c
OemKbLightSupportDxe,0000055C,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/0000055C.asm; bios/decompiled/OemKbLightSupportDxe.c
OemSWBoardIDDxe,00000598,OemSWBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemSWBoardIDDxe/00000598.asm; bios/decompiled/OemSWBoardIDDxe.c
OemACPIDriverDxe,0x5B0,OemACPIDriverDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverDxe/000005B0.asm; bios/decompiled/OemACPIDriverDxe.c
OemManufactureModeDxe,0x5B8,ec-io-helpers,type,the `type` column already names this family,bios/ghidra/listings/OemManufactureModeDxe/000005B8.asm; bios/decompiled/OemManufactureModeDxe.c
OemI2cDevices,000005CC,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/000005CC.asm; bios/decompiled/OemI2cDevices.c
OemNetworkDxe,0x5D4,OemNetworkDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemNetworkDxe/000005D4.asm; bios/decompiled/OemNetworkDxe.c
OemOcDxe,0x5D8,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/decompiled/OemOcDxe.annotated.c; bios/decompiled/OemOcDxe.c
OemKbLightSupportDxe,000005E4,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/000005E4.asm; bios/decompiled/OemKbLightSupportDxe.c
OemSWBoardIDDxe,00000610,OemSWBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemSWBoardIDDxe/00000610.asm; bios/decompiled/OemSWBoardIDDxe.c
OemTurboModeDxe,0x614,OemTurboModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemTurboModeDxe/00000614.asm; bios/decompiled/OemTurboModeDxe.c
OemUniWillVariableDxe,00000620,OemUniWillVariableDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUniWillVariableDxe/00000620.asm; bios/decompiled/OemUniWillVariableDxe.c
OemI2cDevices,00000630,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/00000630.asm; bios/decompiled/OemI2cDevices.c
OemManufactureModeDxe,0x630,ec-io-helpers,type,the `type` column already names this family,bios/ghidra/listings/OemManufactureModeDxe/00000630.asm; bios/decompiled/OemManufactureModeDxe.c
OemKbLightSupportDxe,00000648,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/00000648.asm; bios/decompiled/OemKbLightSupportDxe.c
OemPowerModeDxe,0x670,OemPowerModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemPowerModeDxe/00000670.asm; bios/decompiled/OemPowerModeDxe.c
OemUsbLightBarDxe,00000670,OemUsbLightBarDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUsbLightBarDxe/00000670.asm; bios/decompiled/OemUsbLightBarDxe.c
OemOcDxe,0x67C,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/decompiled/OemOcDxe.annotated.c; bios/decompiled/OemOcDxe.c
Setup,0x00000680,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/00000680.asm; bios/decompiled/Setup.c
OemI2cDevices,0000068C,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/0000068C.asm; bios/decompiled/OemI2cDevices.c
OemTurboModeDxe,0x68C,OemTurboModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemTurboModeDxe/0000068C.asm; bios/decompiled/OemTurboModeDxe.c
OemSWBoardIDDxe,00000698,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemSWBoardIDDxe/00000698.asm; bios/decompiled/OemSWBoardIDDxe.c
OemManufactureModeDxe,0x6B8,ec-io-helpers,type,the `type` column already names this family,bios/ghidra/listings/OemManufactureModeDxe/000006B8.asm; bios/decompiled/OemManufactureModeDxe.c
OemI2cDevices,000006DC,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/000006DC.asm; bios/decompiled/OemI2cDevices.c
OemPowerModeDxe,0x6E8,OemPowerModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemPowerModeDxe/000006E8.asm; bios/decompiled/OemPowerModeDxe.c
OemKbLightSupportDxe,00000710,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/00000710.asm; bios/decompiled/OemKbLightSupportDxe.c
OemTurboModeDxe,0x714,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemTurboModeDxe/00000714.asm; bios/decompiled/OemTurboModeDxe.c
OemManufactureModeDxe,0x71C,ec-io-helpers,type,the `type` column already names this family,bios/ghidra/listings/OemManufactureModeDxe/0000071C.asm; bios/decompiled/OemManufactureModeDxe.c
OemUniWillVariableDxe,00000720,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemUniWillVariableDxe/00000720.asm; bios/decompiled/OemUniWillVariableDxe.c
OemQkeyDxe,00000730,OemQkeyDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemQkeyDxe/00000730.asm; bios/decompiled/OemQkeyDxe.c
OverclockInterface,0x740,OverclockInterface,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OverclockInterface/00000740.asm; bios/decompiled/OverclockInterface.c
OemKbLightSupportDxe,00000764,OemKbLightSupportDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightSupportDxe/00000764.asm; bios/decompiled/OemKbLightSupportDxe.c
OemPowerModeDxe,0x770,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemPowerModeDxe/00000770.asm; bios/decompiled/OemPowerModeDxe.c
OemTurboModeDxe,0x778,OemTurboModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemTurboModeDxe/00000778.asm; bios/decompiled/OemTurboModeDxe.c
OemUniWillVariableDxe,00000784,OemUniWillVariableDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUniWillVariableDxe/00000784.asm; bios/decompiled/OemUniWillVariableDxe.c
OemHooks,0x78C,ec-io-helpers,type,the `type` column already names this family,bios/ghidra/listings/OemHooks/0000078C.asm; bios/decompiled/OemHooks.c; ec/annotations/registers.yaml
OemACPIDriverDxe,0x7A0,OemACPIDriverDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemACPIDriverDxe/000007A0.asm; bios/decompiled/OemACPIDriverDxe.c
OemOcDxe,0x7A8,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/decompiled/OemOcDxe.annotated.c; bios/decompiled/OemOcDxe.c
OverclockInterface,0x7AC,OverclockInterface,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OverclockInterface/000007AC.asm; bios/decompiled/OverclockInterface.c
OemSWBoardIDDxe,000007C4,OemSWBoardIDDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemSWBoardIDDxe/000007C4.asm; bios/decompiled/OemSWBoardIDDxe.c
OemKbLightSupportDxe,000007D0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemKbLightSupportDxe/000007D0.asm; bios/decompiled/OemKbLightSupportDxe.c
OemPowerModeDxe,0x7D4,OemPowerModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemPowerModeDxe/000007D4.asm; bios/decompiled/OemPowerModeDxe.c
OemManufactureModeDxe,0x7E4,OemManufactureModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemManufactureModeDxe/000007E4.asm; bios/decompiled/OemManufactureModeDxe.c
OemApControlDxe,0x7E8,OemApControlDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemApControlDxe/000007E8.asm; bios/decompiled/OemApControlDxe.c
DxeOverClock,0x0000081C,DxeOverClock,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/DxeOverClock/0000081C.asm; bios/decompiled/DxeOverClock.c
OemQkeyDxe,00000830,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemQkeyDxe/00000830.asm; bios/decompiled/OemQkeyDxe.c
OemSWBoardIDDxe,00000830,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemSWBoardIDDxe/00000830.asm; bios/decompiled/OemSWBoardIDDxe.c
Setup,0x0000083C,Setup,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/Setup/0000083C.asm; bios/decompiled/Setup.c
OemTurboModeDxe,0x840,OemTurboModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemTurboModeDxe/00000840.asm; bios/decompiled/OemTurboModeDxe.c
OemUniWillVariableDxe,0000084C,ec-io-helpers,type,the `type` column already names this family,bios/ghidra/listings/OemUniWillVariableDxe/0000084C.asm; bios/decompiled/OemUniWillVariableDxe.c; ec/annotations/registers.yaml
OemManufactureModeDxe,0x850,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemManufactureModeDxe/00000850.asm; bios/decompiled/OemManufactureModeDxe.c
EcPs2Kbd,0x85C,EcPs2Kbd,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/EcPs2Kbd/0000085C.asm; bios/decompiled/EcPs2Kbd.c
OemHooks,0x88C,ec-io-helpers,type,the `type` column already names this family,bios/ghidra/listings/OemHooks/0000088C.asm; bios/decompiled/OemHooks.c; ec/annotations/registers.yaml
EcPs2Kbd,0x894,EcPs2Kbd,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/EcPs2Kbd/00000894.asm; bios/decompiled/EcPs2Kbd.c
OemQkeyDxe,00000894,OemQkeyDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemQkeyDxe/00000894.asm; bios/decompiled/OemQkeyDxe.c
OemPowerModeDxe,0x89C,OemPowerModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemPowerModeDxe/0000089C.asm; bios/decompiled/OemPowerModeDxe.c
OemTurboModeDxe,0x8AC,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemTurboModeDxe/000008AC.asm; bios/decompiled/OemTurboModeDxe.c
OemManufactureModeDxe,0x8B0,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemManufactureModeDxe/000008B0.asm; bios/decompiled/OemManufactureModeDxe.c
EcPs2Kbd,0x8C0,arithmetic,type,the `type` column already names this family,bios/ghidra/listings/EcPs2Kbd/000008C0.asm; bios/decompiled/EcPs2Kbd.c
OemApControlDxe,0x8E8,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemApControlDxe/000008E8.asm; bios/decompiled/OemApControlDxe.c
OemUniWillVariableDxe,000008E8,OemUniWillVariableDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUniWillVariableDxe/000008E8.asm; bios/decompiled/OemUniWillVariableDxe.c
OemHooks,0x8F0,ec-io-helpers,type,the `type` column already names this family,bios/ghidra/listings/OemHooks/000008F0.asm; bios/decompiled/OemHooks.c; ec/annotations/registers.yaml
OemGlobalNvsDxe,0x900,OemGlobalNvsDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemGlobalNvsDxe/00000900.asm; bios/decompiled/OemGlobalNvsDxe.c
OemTurboModeDxe,0x90C,arithmetic,type,the `type` column already names this family,bios/ghidra/listings/OemTurboModeDxe/0000090C.asm; bios/decompiled/OemTurboModeDxe.c
OemKbLightDxe,0x910,OemKbLightDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightDxe/00000910.asm; bios/decompiled/OemKbLightDxe.c
OverclockInterface,0x928,OverclockInterface,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OverclockInterface/00000928.asm; bios/decompiled/OverclockInterface.c
OemPowerModeDxe,0x938,OemPowerModeDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemPowerModeDxe/00000938.asm; bios/decompiled/OemPowerModeDxe.c
OemDDSSupportDxe,00000944,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemDDSSupportDxe/00000944.asm; bios/decompiled/OemDDSSupportDxe.c
OemApControlDxe,0x94C,OemApControlDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemApControlDxe/0000094C.asm; bios/decompiled/OemApControlDxe.c
OemQkeyDxe,0000095C,OemQkeyDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemQkeyDxe/0000095C.asm; bios/decompiled/OemQkeyDxe.c
OemI2cDevices,00000984,OemI2cDevices,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemI2cDevices/00000984.asm; bios/decompiled/OemI2cDevices.c
OemKbLightDxe,0x988,OemKbLightDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemKbLightDxe/00000988.asm; bios/decompiled/OemKbLightDxe.c
OemPowerModeDxe,0x9A4,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemPowerModeDxe/000009A4.asm; bios/decompiled/OemPowerModeDxe.c
OemUniWillVariableDxe,000009B4,arithmetic,type,the `type` column already names this family,bios/ghidra/listings/OemUniWillVariableDxe/000009B4.asm; bios/decompiled/OemUniWillVariableDxe.c
OemHooks,0x9B8,ec-io-helpers,type,the `type` column already names this family,bios/ghidra/listings/OemHooks/000009B8.asm; bios/decompiled/OemHooks.c; ec/annotations/registers.yaml
OemQkeyDxe,000009C8,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemQkeyDxe/000009C8.asm; bios/decompiled/OemQkeyDxe.c
OemOcDxe,0x9E4,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemOcDxe/000009E4.asm; bios/decompiled/OemOcDxe.c
EcPs2Kbd,0x9EC,EcPs2Kbd,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/EcPs2Kbd/000009EC.asm; bios/decompiled/EcPs2Kbd.c
OemHooks,0xA00,ec-io-helpers,type,the `type` column already names this family,bios/ghidra/listings/OemHooks/00000A00.asm; bios/decompiled/OemHooks.c; ec/annotations/registers.yaml
OemPowerModeDxe,0xA04,arithmetic,type,the `type` column already names this family,bios/ghidra/listings/OemPowerModeDxe/00000A04.asm; bios/decompiled/OemPowerModeDxe.c
OemKbLightDxe,0xA10,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemKbLightDxe/00000A10.asm; bios/decompiled/OemKbLightDxe.c
OemApControlDxe,0xA14,OemApControlDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemApControlDxe/00000A14.asm; bios/decompiled/OemApControlDxe.c
OemQkeyDxe,00000A28,delay-loops,type,the `type` column already names this family,bios/ghidra/listings/OemQkeyDxe/00000A28.asm; bios/decompiled/OemQkeyDxe.c
OemUniWillVariableDxe,00000A40,OemUniWillVariableDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemUniWillVariableDxe/00000A40.asm; bios/decompiled/OemUniWillVariableDxe.c
OemOcDxe,0xA68,OemOcDxe,module,The module is the grouping: the export is per-module and the module name is the real structural layer the BIOS has.,bios/ghidra/listings/OemOcDxe/00000A68.asm; bios/decompiled/OemOcDxe.c
